random,itemtype,format,title,objectid,relative_link,nexttitle,nextobjectid,nextlink,prevtitle,prevobjectid,prevlink
9335,trailcam,video/avi,Retrieval ,salmopriest-criticalhabitatsnowytopsouthbasin-imag0038,mapitem.html?id=salmopriest-criticalhabitatsnowytopsouthbasin-imag0038,Picture,ballcreek-cedarrub-mantakespicture,mapitem.html?id=ballcreek-cedarrub-mantakespicture,Doe Traverse,salmopriest-criticalhabitat-salmodivide535rim-imag0038,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0038
2699,trailcam,video/avi,Picture,ballcreek-cedarrub-mantakespicture,mapitem.html?id=ballcreek-cedarrub-mantakespicture,Rainy Dawn,salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0215,mapitem.html?id=salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0215,Retrieval ,salmopriest-criticalhabitatsnowytopsouthbasin-imag0038,mapitem.html?id=salmopriest-criticalhabitatsnowytopsouthbasin-imag0038
16154,trailcam,image/jpg,Rainy Dawn,salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0215,mapitem.html?id=salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0215,Girl,twomouth-unnamedlake-imag0049,mapitem.html?id=twomouth-unnamedlake-imag0049,Picture,ballcreek-cedarrub-mantakespicture,mapitem.html?id=ballcreek-cedarrub-mantakespicture
7754,trailcam,image/jpg,Girl,twomouth-unnamedlake-imag0049,mapitem.html?id=twomouth-unnamedlake-imag0049,Los Angeles County Museum of Natural History,lacnhm-sabertooth-jack,mapitem.html?id=lacnhm-sabertooth-jack,Rainy Dawn,salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0215,mapitem.html?id=salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0215
17482,contextual,image/jpg,Los Angeles County Museum of Natural History,lacnhm-sabertooth-jack,mapitem.html?id=lacnhm-sabertooth-jack,Blank,salmopriest-criticalhabitat-salmodivide535rim-imag0067,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0067,Girl,twomouth-unnamedlake-imag0049,mapitem.html?id=twomouth-unnamedlake-imag0049
18416,trailcam,image/jpg,Blank,salmopriest-criticalhabitat-salmodivide535rim-imag0067,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0067,Doe And Fawn,twomouth-aboveroad-imag0014,mapitem.html?id=twomouth-aboveroad-imag0014,Los Angeles County Museum of Natural History,lacnhm-sabertooth-jack,mapitem.html?id=lacnhm-sabertooth-jack
5592,trailcam,video/mp4,Doe And Fawn,twomouth-aboveroad-imag0014,mapitem.html?id=twomouth-aboveroad-imag0014,Face,salmopriest-criticalhabitat-salmodivide535rim-imag0082,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0082,Blank,salmopriest-criticalhabitat-salmodivide535rim-imag0067,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0067
17559,trailcam,image/jpg,Face,salmopriest-criticalhabitat-salmodivide535rim-imag0082,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0082,Afternoon Meadow,two-mouth-meadow-imag0024,mapitem.html?id=two-mouth-meadow-imag0024,Doe And Fawn,twomouth-aboveroad-imag0014,mapitem.html?id=twomouth-aboveroad-imag0014
13885,trailcam,image/jpg,Afternoon Meadow,two-mouth-meadow-imag0024,mapitem.html?id=two-mouth-meadow-imag0024,Camera Assessment ,salmopriest-criticalhabitat-salmodivide535rim-imag0011,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0011,Face,salmopriest-criticalhabitat-salmodivide535rim-imag0082,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0082
3070,trailcam,image/jpg,Camera Assessment ,salmopriest-criticalhabitat-salmodivide535rim-imag0011,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0011,Doe at Night,salmopriest-criticalhabitatsnowytopsouthbasin-imag0011,mapitem.html?id=salmopriest-criticalhabitatsnowytopsouthbasin-imag0011,Afternoon Meadow,two-mouth-meadow-imag0024,mapitem.html?id=two-mouth-meadow-imag0024
