otherobjectid,objectid,filename,youtubeid,itemtype,format,title,latitude,longitude,date,date is approximate?,encounterdate,description,subject,location,type,language,rights,rightsstatement,object_template,object_download,image_small,image_thumb
storying234,salmopriest-criticalhabitat-salmodivide535rim-imag0112,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0112.jpg,,trailcam,image/jpg,Blank,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0112.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0112_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0112_th.jpg
storying235,salmopriest-criticalhabitat-salmodivide535rim-imag0113,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0113.jpg,,trailcam,image/jpg,Blank,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0113.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0113_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0113_th.jpg
storying236,salmopriest-criticalhabitat-salmodivide535rim-imag0114,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0114.jpg,,trailcam,image/jpg,Three Amigos,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0114.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0114_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0114_th.jpg
storying237,salmopriest-criticalhabitat-salmodivide535rim-imag0115,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0115.jpg,,trailcam,image/jpg,After the Amigos,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0115.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0115_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0115_th.jpg
storying238,salmopriest-criticalhabitat-salmodivide535rim-imag0116,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0116.jpg,,trailcam,image/jpg,Day on the Loop,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0116.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0116_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0116_th.jpg
storying239,salmopriest-criticalhabitat-salmodivide535rim-imag0117,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0117.jpg,,trailcam,image/jpg,Day on the Loop,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0117.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0117_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0117_th.jpg
storying240,salmopriest-criticalhabitat-salmodivide535rim-imag0118,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0118.jpg,,trailcam,image/jpg,Day on the Loop,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0118.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0118_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0118_th.jpg
storying241,salmopriest-criticalhabitat-salmodivide535rim-imag0119,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0119.jpg,,trailcam,image/jpg,Day on the Loop,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0119.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0119_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0119_th.jpg
storying242,salmopriest-criticalhabitat-salmodivide535rim-imag0120,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0120.jpg,,trailcam,image/jpg,Day on the Loop,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0120.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0120_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0120_th.jpg
storying243,salmopriest-criticalhabitat-salmodivide535rim-imag0121,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0121.jpg,,trailcam,image/jpg,Day on the Loop,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0121.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0121_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0121_th.jpg
