otherobjectid,objectid,filename,youtubeid,otheryoutubeid,title,date,date is approximate?,encounterdate,description,subject,location,degree-latitude,degree-longitude,format,latitude,longitude,type,language,rights,rightsstatement,object_template,object_download,image_small,image_thumb
storying001,bull-elk-investigates,Bull-Elk-Investigates.AVI,Zqk2J6wXyos,,Bull Elk Investigates,2020-07-04,,,Bulk Elk investigates cedar tree,Bull elk; cedar tree; game camera,Ball creek drainage,"48Â°46'07.4""N","-116Â°37'26.6""W",video/avi,48.768722,-116.624056,Image;StillImage,eng,,,image,,,
storying002,bull-moose-shoulder-profile-bell-and-wind,Bull-Moose-Shoulder-Profile-Bell-and-Wind.AVI,RMywG_Qrp5E,,Bull Moose Shoulder Profile Bell and Wind,2020-07-10,,,"Bull moose stands in front of game camera revealing shoulder, bell.",Bull moose; game camera,Ball creek drainage,"48Â°46'07.4""N","-116Â°37'26.6""W",video/avi,48.768722,-116.624056,Image;StillImage,eng,,,image,,,
storying003,cinnamon-bear-rubs-2-0,Cinnamon-Bear-Rubs-2.0.AVI,acHU-aWvRyg,,Cinnamon Bear Rubs 2.0,2020-07-15,,,Cinnamon bear rubs cedar tree,Cinnamon bear; cedar tree; game camera,Ball creek drainage,"48Â°46'07.4""N","-116Â°37'26.6""W",video/avi,48.768722,-116.624056,Image;StillImage,eng,,,image,,,
storying004,man-draws-gun,Man-Draws-Gun.AVI,u11iRryOoww,,Man Draws Gun,2020-07-10,,,Man with family draws gun near cedar tree,Man; wife; two daughters; cedar tree; game camera,Ball creek drainage,"48Â°46'07.4""N","-116Â°37'26.6""W",video/avi,48.768722,-116.624056,Image;StillImage,eng,,,image,,,
storying005,grizzly-bear-pipe,Grizzly-Bear-Pipe.AVI,J0rZhbQu0yQ,,Grizzly Bear Pipe,2020-07-13,,,"Grizzly bear passes game camera, investigates",Grizzly bear; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",video/avi,48.953306,-117.025,Image;StillImage,eng,,,image,,,
storying006,windy-saddle,Windy-Saddle.AVI,ORJ0jmas6jA,,Windy Saddle,2020-06-24,,,Windstorm shakes trees near little snowy top,Trees; wind; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",video/avi,48.953306,-117.025,Image;StillImage,eng,,,image,,,
storying007,chimney-rock-encounter,Bob-Case,HjbLLcdZkgU,,Chimney Rock Encounter,1994-07-01,y,1994-07-01,Bob Case sees and photographs a bull caribou while hiking alone at Chimney Rock,Bob Case; oral history interview,"Chimney Rock, ID","48Â°37'07.6""N","-116Â°41'48.9""W",video/avi,48.618778,-116.696917,Image;StillImage,eng,,,image,,,
storying008,caribou-encounter-in-bc,Bryce-Comer,h-VrnGdYuG4,,Caribou Encounter in BC,2010,y,2010,Bryce Comer recounts his experience filming caribou in southern BC,Bryce Comer;  oral history interview,"Stagleap Provincial Park, BC","49Â°09'11.6""N","-116Â°59'49.4""W",video/avi,49.153222,-116.997056,Image;StillImage,eng,,,image,,,
storying009,two-mouth-lakes-encounter,Debbie-Ackley,g7Z8X7PsbUE,,Two Mouth Lakes Encounter,1991,y,1991,Debby Ackley describes seeing a caribou on her hike to Two Mouth Lakes,Debby Ackley;  oral history interview,"Two Mouth Lakes, ID","48Â°42'32.5""N","-116Â°38'43.1""W",video/avi,48.709028,-116.645306,Image;StillImage,eng,,,image,,,
storying010,schweitzer-mt-encounter,John-Nylund,4tb9NnJdwr8,,Schweitzer Mt. Encounter,1990,y,1990,John Nylund describes seeing a caribou while working on the quad chair at Schweitzer Mt.,John Nylund;  oral history interview,Schweitzer Mt. ID,"48Â°23'50.0""N","-116Â°36'25.8""W",video/avi,48.397222,-116.607167,Image;StillImage,eng,,,image,,,
storying011,black-bear-gaze,https://cdil.lib.uidaho.edu/storying-extinction/objects/Black-bear-gaze.jpg,,,Black Bear Gaze,2020-07-06,,,Black bear gazes at game camera,Black bear; game camera,Ball creek drainage,"48Â°46'07.4""N","-116Â°37'26.6""W",image/jpg,48.768722,-116.624056,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Black-bear-gaze.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Black-bear-gaze.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Black-bear-gaze.jpg
storying012,coyote-sp,https://cdil.lib.uidaho.edu/storying-extinction/objects/Coyote-SP.jpg,,,Coyote ,2020-06-22,,,Coyote passes game camera on trail,Coyote; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",image/jpg,48.953306,-117.025,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Coyote-SP.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Coyote-SP.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Coyote-SP.jpg
storying013,hoary-marmot-wrestle,https://cdil.lib.uidaho.edu/storying-extinction/objects/Hoary-Marmot-Wrestle.jpg,,,Hoary Marmot Wrestle,2020-06-05,,,Two hoary marmots wrestle near the ridgeline,Hoary marmot 1; hoary marmot 2; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",image/jpg,48.953306,-117.025,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Hoary-Marmot-Wrestle.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Hoary-Marmot-Wrestle.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Hoary-Marmot-Wrestle.jpg
storying014,mule-deer-buck-sp,https://cdil.lib.uidaho.edu/storying-extinction/objects/Mule-Deer-Buck-SP.jpg,,,Mule Deer Buck ,2020-06-27,,,Mule deer buck at game camera,Mule deer; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",image/jpg,48.953306,-117.025,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Mule-Deer-Buck-SP.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Mule-Deer-Buck-SP.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Mule-Deer-Buck-SP.jpg
storying015,cedar-hemlock,https://cdil.lib.uidaho.edu/storying-extinction/objects/Cedar-Hemlock.jpg,,,Cedar Hemlock,2020-07-20,,,Cedar Hemlock forest,Cedar Hemlock trees; game camera,Ball creek drainage,"48Â°46'07.4""N","-116Â°37'26.6""W",image/jpg,48.768722,-116.624056,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Cedar-Hemlock.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Cedar-Hemlock.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Cedar-Hemlock.jpg
storying016,englemann-spruce-subalpine-fir,https://cdil.lib.uidaho.edu/storying-extinction/objects/Engelmann-subalpine.jpg,,,Englemann Spruce/Subalpine Fir,2020-05-30,,,Englemann spruce forest in snow/rain/fog,Englemann and subalpine trees; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",image/jpg,48.953306,-117.025,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Engelmann-subalpine.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Engelmann-subalpine.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Engelmann-subalpine.jpg
storying017,twisted-stalk,https://cdil.lib.uidaho.edu/storying-extinction/objects/twisted-stalk.jpg,,,Twisted Stalk,2020-07-30,,,Twisted stalk in drainage off of Little Snowy Top,Twisted Stalk; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",image/jpg,48.953306,-117.025,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/twisted-stalk.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/twisted-stalk.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/twisted-stalk.jpg
storying018,spruce-grouse-takes-off,Spruce-Grouse.m4v,sfmpHXFteH8,,Spruce Grouse Takes Off,2020-05-30,,,Spruce grouse takes off of dead fall near little snowy top,Spruce grouse; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",video/mv4,48.953306,-117.025,Image;StillImage,eng,,,image,,,
storying019,caribou-mural-in-sandpoint,https://cdil.lib.uidaho.edu/storying-extinction/objects/Sandpoint-caribou-mural.jpg,,,Caribou Mural in Sandpoint,2020-06-23,,,"Caribout mural in Sandpoint, ID",Mural,"Sandpoint, ID","48Â°16'41.4""N","-116Â°33'20.6""W",image/jpg,48.278167,-116.555722,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Sandpoint-caribou-mural.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Sandpoint-caribou-mural.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Sandpoint-caribou-mural.jpg
storying020,ballcreek-cedarrub-blackbearpassingthrough,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Blackbearpassingthrough.jpg,,,Black Bear Passing Through,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Blackbearpassingthrough.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-blackbearpassingthrough_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-blackbearpassingthrough_th.jpg
storying021,ballcreek-cedarrub-blackbearpassingthrough2,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Blackbearpassingthrough2.jpg,,,Black Bear Passing Through 2,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Blackbearpassingthrough2.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-blackbearpassingthrough2_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-blackbearpassingthrough2_th.jpg
storying022,ballcreek-cedarrub-blackbearrub,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Blackbearrub.jpg,,,Black Bear Rub,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Blackbearrub.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-blackbearrub_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-blackbearrub_th.jpg
storying023,ballcreek-cedarrub-bullelkbrowsing,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Bullelkbrowsing.jpg,,,Bull Elk Browsing,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Bullelkbrowsing.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-bullelkbrowsing_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-bullelkbrowsing_th.jpg
storying024,ballcreek-cedarrub-bullelkcloseup,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Bullelkcloseup.jpg,,,Bull Elk Close Up,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Bullelkcloseup.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-bullelkcloseup_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-bullelkcloseup_th.jpg
storying025,ballcreek-cedarrub-bullelkinvestigatesrub,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Bullelkinvestigatesrub.jpg,,,Bull Elk Investigates Rub,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Bullelkinvestigatesrub.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-bullelkinvestigatesrub_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-bullelkinvestigatesrub_th.jpg
storying026,ballcreek-cedarrub-cinnamonbearinvestigatestree2,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Cinnamonbearinvestigatestree2.jpg,,,Cinnamon Bear Investigates Tree 2,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Cinnamonbearinvestigatestree2.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-cinnamonbearinvestigatestree2_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-cinnamonbearinvestigatestree2_th.jpg
storying027,ballcreek-cedarrub-cinnamonblackapproachestree,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Cinnamonblackapproachestree.jpg,,,Cinnamon Black Approaches Tree,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Cinnamonblackapproachestree.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-cinnamonblackapproachestree_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-cinnamonblackapproachestree_th.jpg
storying028,ballcreek-cedarrub-cinnamonblackbeardeparts,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Cinnamonblackbeardeparts.jpg,,,Cinnamon Black Bear Departs,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Cinnamonblackbeardeparts.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-cinnamonblackbeardeparts_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-cinnamonblackbeardeparts_th.jpg
storying029,ballcreek-cedarrub-deckerfacescam,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Deckerfacescam.jpg,,,Decker ,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Deckerfacescam.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-deckerfacescam_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-deckerfacescam_th.jpg
storying030,ballcreek-cedarrub-familypassestree,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Familypassestree.jpg,,,Family Passes Tree,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Familypassestree.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-familypassestree_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-familypassestree_th.jpg
storying031,ballcreek-cedarrub-hikerpassestree,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Hikerpassestree.jpg,,,Hiker Passes Tree,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Hikerpassestree.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-hikerpassestree_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-hikerpassestree_th.jpg
storying032,ballcreek-cedarrub-moosedeparture,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Moosedeparture.jpg,,,Moose Departure,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Moosedeparture.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-moosedeparture_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-moosedeparture_th.jpg
storying033,ballcreek-cedarrub-mooseinvestigatestree,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Mooseinvestigatestree.jpg,,,Moose Investigates Tree,,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Mooseinvestigatestree.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-cedarrub-mooseinvestigatestree_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-cedarrub-mooseinvestigatestree_th.jpg
storying034,ballcreek-smallclearing-blackbeargaze,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Blackbeargaze.jpg,,,Black Bear Gaze,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Blackbeargaze.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-blackbeargaze_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-blackbeargaze_th.jpg
storying035,ballcreek-smallclearing-bullheadinfogblur,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Bullheadinfogblur.jpg,,,Bull Muzzle Fog Blur,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Bullheadinfogblur.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-bullheadinfogblur_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-bullheadinfogblur_th.jpg
storying036,ballcreek-smallclearing-bullmooseatnight,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Bullmooseatnight.jpg,,,Bull Moose at Night,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Bullmooseatnight.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-bullmooseatnight_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-bullmooseatnight_th.jpg
storying037,ballcreek-smallclearing-bullmoosebuttnight,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Bullmoosebuttnight.jpg,,,Bull Rump Night,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Bullmoosebuttnight.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-bullmoosebuttnight_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-bullmoosebuttnight_th.jpg
storying038,ballcreek-smallclearing-bullmoosequarteringaway,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Bullmoosequarteringaway.jpg,,,Bull Moose Quartering Away,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Bullmoosequarteringaway.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-bullmoosequarteringaway_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-bullmoosequarteringaway_th.jpg
storying039,ballcreek-smallclearing-bullmoosequarteringinrightthirdofscreen,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Bullmoosequarteringinrightthirdofscreen.jpg,,,Bull Moose Quartering ,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Bullmoosequarteringinrightthirdofscreen.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-bullmoosequarteringinrightthirdofscreen_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-bullmoosequarteringinrightthirdofscreen_th.jpg
storying040,ballcreek-smallclearing-bullmooseshoulderprofile,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Bullmooseshoulderprofile.jpg,,,Bull Moose Shoulder Profile,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Bullmooseshoulderprofile.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-bullmooseshoulderprofile_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-bullmooseshoulderprofile_th.jpg
storying041,ballcreek-smallclearing-cowmooseapproach,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Cowmooseapproach.jpg,,,Cow Moose Approach,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Cowmooseapproach.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-cowmooseapproach_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-cowmooseapproach_th.jpg
storying042,ballcreek-smallclearing-cowmooselookingatcam,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Cowmooselookingatcam.jpg,,,Cow Moose Looking at Cam,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Cowmooselookingatcam.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-cowmooselookingatcam_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-cowmooselookingatcam_th.jpg
storying043,ballcreek-smallclearing-cowmooselooksatcam,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Cowmooselooksatcam.jpg,,,Cow Moose Looks at Cam,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Cowmooselooksatcam.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-cowmooselooksatcam_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-cowmooselooksatcam_th.jpg
storying044,ballcreek-smallclearing-cowmooserightblurry,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Cowmooserightblurry.jpg,,,Cow Moose Right Blurry,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Cowmooserightblurry.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-cowmooserightblurry_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-cowmooserightblurry_th.jpg
storying045,ballcreek-smallclearing-deckerselfie,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Deckerselfie.jpg,,,Decker Selfie,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Deckerselfie.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-deckerselfie_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-deckerselfie_th.jpg
storying046,ballcreek-smallclearing-moosewalksawaywithraindropsoncam,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Moosewalksawaywithraindropsoncam.jpg,,,Walking in Rain,,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Moosewalksawaywithraindropsoncam.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/ballcreek-smallclearing-moosewalksawaywithraindropsoncam_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/ballcreek-smallclearing-moosewalksawaywithraindropsoncam_th.jpg
