objectid,storyingid,mapobjectid,filename,youtubeid,,title,date,date is approximate?,description,subject,location,degree-latitude,degree-longitude,format,latitude,longitude,type,language,rights,rightsstatement,object_template,object_download,image_small,image_thumb
storying216,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0094,,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0094.jpg,,,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0094,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,,,image/jpg,48.952513,-117.014216,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0094.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0094_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0094_th.jpg
storying217,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0095,,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0095.jpg,,,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0095,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,,,image/jpg,48.952513,-117.014216,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0095.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0095_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0095_th.jpg
storying218,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0096,,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0096.jpg,,,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0096,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,,,image/jpg,48.952513,-117.014216,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0096.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0096_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0096_th.jpg
storying219,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0097,,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0097.jpg,,,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0097,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,,,image/jpg,48.952513,-117.014216,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0097.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0097_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0097_th.jpg
storying220,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0098,,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0098.jpg,,,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0098,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,,,image/jpg,48.952513,-117.014216,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0098.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0098_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0098_th.jpg
storying221,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0099,,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0099.jpg,,,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0099,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,,,image/jpg,48.952513,-117.014216,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0099.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0099_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0099_th.jpg
storying222,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0100,,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0100.jpg,,,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0100,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,,,image/jpg,48.952513,-117.014216,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0100.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0100_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0100_th.jpg
storying223,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0101,,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0101.jpg,,,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0101,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,,,image/jpg,48.952513,-117.014216,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0101.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0101_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0101_th.jpg
storying224,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0102,,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0102.jpg,,,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0102,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,,,image/jpg,48.952513,-117.014216,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0102.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0102_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0102_th.jpg
storying225,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0103,,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0103.jpg,,,SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0103,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,,,image/jpg,48.952513,-117.014216,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0103.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0103_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/SalmoPriest-CriticalHabitat-SalmoDivide535rim-IMAG0103_th.jpg
